customer_id	payment_real
af7UwM4ENx7y	136640.8
XGV9MaVUAqRE	136640.8
tWgXu51nurcA	49503.4
VxaHai8O6EQ0	49503.4
wahcoAyYH5mf	47015.36
uOlAk7agzuGs	47015.36
hQogyx407Z8K	47015.36
ZY0JIG6b4zen	47015.36
NrBdU4M9f9wW	47015.36
1l5XB9UosxnL	47015.36
eSPG8k5P20ak	39716.4
PxrWgbHKVPHu	33513.5
d1Pb3PLmbsYc	32135.28
odidUJbrHEll	30441.199999999997
tEAu5bO4GiaB	27688.84
fILwKNWvsVBj	27688.84
AsgIeZapKCVB	27688.84
DohSTxavu4lT	27599.5
aHhCVIo3Qj4p	26810.8
4bU5SW48rpPV	26640.45
VGLjIPg3EPHL	26160
zL5SiXf3wEKm	26070.9
ft1QPVnOPM63	24521.199999999997
twLFhZ00vYqi	24326.16
zbpiMk3qYMjB	24076.24
rqAtHQjRHvmy	23821.7
rokDGYixzGRZ	23821.7
9twVSGOGCs62	23821.7
5LADwzHSwbXH	23821.7
Z4ibJPtBUtSU	23408.899999999998
VhqcscZsPg0k	22649
SIzUcnZjcVd1	22612.77
sT64cxwnmQ5r	22079.6
OztBvhR9IQBA	22024
NPyMiPUBZEmn	22024
vzJPjbRzsgLt	21502.199999999997
5ElzdusfePlP	20481.199999999997
wF6Mkwd9Jcop	20310.899999999998
syOkagKmSk8r	20310.899999999998
m9YG25CySI5t	20310.899999999998
jeYPtU4IFThU	20310.899999999998
fYRjLSpyrNlT	20310.899999999998
T81764iiWteU	20310.899999999998
qEDTTtn4Mo9N	19897.75
dJBOVhFFuE2e	19536.84
kitPDamcsYMj	19436.760000000002
wPfXkJS3DufB	19273.800000000003
Z1dis2nCOPmc	19273.800000000003
NAbj8oUw1bS7	19174.38
OCOP0XhcmGqo	18612.6
UJpAw5IMu0Od	18601.76
YJO2uanJcx6W	18263.399999999998
EnVWvStKUKeV	18263.399999999998
BGCI6Wf8FmDU	18111.6
a3MRPqKIfQYK	18105
ibf8xZsQhRzl	17768.25
vV2dv5Eyw0ZA	17381.7
h1LpIGNTFYxH	17308.699999999997
7k0GwfDT4jP1	17023.5
0EFzkvsaqzZd	17023.5
T7Fa5WtxHPjE	16909.5
4hkWpMZ1l9JY	16909.5
DRKPs3S1jdGR	16756.75
XowXCGTVpXOt	16586
AIxrRWW9FYdi	16586
mLw7yhHcWVb3	16443.6
ahkKPaZjhj4W	16425.4
JvhO3u3RpGbq	16383.5
Zfc3NE5q1krA	16293.3
i9fitEuWsKlj	16256.32
